ano,pais,kg,us$,us$/kg
2010,Bahamas,146,795,5.445205479452055
2011,Bahamas,1001,7034,7.026973026973027
2012,Bahamas,216,2160,10.0
2013,Bahamas,270,2700,10.0
2014,Bahamas,0,0,0.0
2015,Bahamas,0,0,0.0
2016,Bahamas,0,0,0.0
2017,Bahamas,0,0,0.0
2018,Bahamas,5,17,3.4
2019,Bahamas,18,79,4.388888888888889
2020,Bahamas,434,1033,2.380184331797235
2021,Bahamas,179,461,2.5754189944134076
2022,Bahamas,56,194,3.4642857142857144
2023,Bahamas,65,268,4.123076923076923
2008,Bangladesh,0,0,0.0
2009,Bangladesh,0,0,0.0
2010,Bangladesh,0,0,0.0
2011,Bangladesh,0,0,0.0
2012,Bangladesh,0,0,0.0
2013,Bangladesh,0,0,0.0
2014,Bangladesh,0,0,0.0
2015,Bangladesh,0,0,0.0
2016,Bangladesh,0,0,0.0
2017,Bangladesh,0,0,0.0
2018,Bangladesh,0,0,0.0
2019,Bangladesh,0,0,0.0
2020,Bangladesh,0,0,0.0
2021,Bangladesh,1,28,28.0
2022,Bangladesh,0,0,0.0
2023,Bangladesh,0,0,0.0
2008,Barbados,0,0,0.0
2009,Barbados,0,0,0.0
2010,Barbados,0,0,0.0
2011,Barbados,0,0,0.0
2012,Barbados,0,0,0.0
2013,Barbados,0,0,0.0
2014,Barbados,0,0,0.0
2015,Barbados,0,0,0.0
2016,Barbados,0,0,0.0
2017,Barbados,0,0,0.0
2018,Barbados,0,0,0.0
2019,Barbados,0,0,0.0
2020,Barbados,57,105,1.8421052631578947
2021,Barbados,4,58,14.5
2022,Barbados,25,101,4.04
2023,Barbados,32,219,6.84375
2008,Belgica,112,682,6.089285714285714
2009,Belgica,0,0,0.0
2010,Belgica,12897,49742,3.856865937814996
2011,Belgica,0,0,0.0
2012,Belgica,7404,40086,5.414100486223663
2013,Belgica,1100,6078,5.525454545454545
2014,Belgica,104153,499164,4.792603189538467
2015,Belgica,900,5280,5.866666666666666
2016,Belgica,0,0,0.0
2017,Belgica,450,2646,5.88
2018,Belgica,1800,10555,5.863888888888889
2019,Belgica,1869,11405,6.102193686463349
2020,Belgica,0,0,0.0
2021,Belgica,0,0,0.0
2022,Belgica,0,0,0.0
2023,Belgica,0,0,0.0
2008,Benin,0,0,0.0
2009,Benin,0,0,0.0
2010,Benin,0,0,0.0
2011,Benin,0,0,0.0
2012,Benin,0,0,0.0
2013,Benin,0,0,0.0
2014,Benin,0,0,0.0
2015,Benin,0,0,0.0
2016,Benin,0,0,0.0
2017,Benin,0,0,0.0
2018,Benin,0,0,0.0
2019,Benin,0,0,0.0
2020,Benin,24,181,7.541666666666667
2021,Benin,0,0,0.0
2022,Benin,0,0,0.0
2023,Benin,3,19,6.333333333333333
2008,Bermudas,0,0,0.0
2009,Bermudas,0,0,0.0
2010,Bermudas,0,0,0.0
2011,Bermudas,0,0,0.0
2012,Bermudas,0,0,0.0
2013,Bermudas,0,0,0.0
2014,Bermudas,0,0,0.0
2015,Bermudas,0,0,0.0
2016,Bermudas,0,0,0.0
2017,Bermudas,0,0,0.0
2018,Bermudas,0,0,0.0
2019,Bermudas,0,0,0.0
2020,Bermudas,0,0,0.0
2021,Bermudas,0,0,0.0
2022,Bermudas,12,58,4.833333333333333
2023,Bermudas,0,0,0.0
2008,Bolívia,587,2048,3.4889267461669506
2009,Bolívia,0,0,0.0
2010,Bolívia,11960,5553,0.4642976588628763
2011,Bolívia,0,0,0.0
2012,Bolívia,0,0,0.0
2013,Bolívia,0,0,0.0
2014,Bolívia,9,250,27.77777777777778
2015,Bolívia,2418,11355,4.696029776674938
2016,Bolívia,2624,12811,4.882240853658536
2017,Bolívia,1668,21056,12.623501199040767
2018,Bolívia,5891,25277,4.290782549652011
2019,Bolívia,0,0,0.0
2020,Bolívia,5994,16901,2.819652986319653
2021,Bolívia,21235,64988,3.060419119378385
2022,Bolívia,22307,70416,3.15667727619133
2023,Bolívia,11410,34481,3.0219982471516214
2008,Bósnia-Herzegovina,0,0,0.0
2009,Bósnia-Herzegovina,0,0,0.0
2010,Bósnia-Herzegovina,0,0,0.0
2011,Bósnia-Herzegovina,0,0,0.0
2012,Bósnia-Herzegovina,0,0,0.0
2013,Bósnia-Herzegovina,0,0,0.0
2014,Bósnia-Herzegovina,0,0,0.0
2015,Bósnia-Herzegovina,0,0,0.0
2016,Bósnia-Herzegovina,0,0,0.0
2017,Bósnia-Herzegovina,0,0,0.0
2018,Bósnia-Herzegovina,0,0,0.0
2019,Bósnia-Herzegovina,10,53,5.3
2020,Bósnia-Herzegovina,168,161,0.9583333333333334
2021,Bósnia-Herzegovina,0,0,0.0
2022,Bósnia-Herzegovina,0,0,0.0
2023,Bósnia-Herzegovina,0,0,0.0
2008,Bulgaria,0,0,0.0
2009,Bulgaria,0,0,0.0
2010,Bulgaria,0,0,0.0
2011,Bulgaria,0,0,0.0
2012,Bulgaria,0,0,0.0
2013,Bulgaria,0,0,0.0
2014,Bulgaria,0,0,0.0
2015,Bulgaria,0,0,0.0
2016,Bulgaria,0,0,0.0
2017,Bulgaria,0,0,0.0
2018,Bulgaria,0,0,0.0
2019,Bulgaria,0,0,0.0
2020,Bulgaria,0,0,0.0
2021,Bulgaria,0,0,0.0
2022,Bulgaria,0,0,0.0
2023,Bulgaria,0,0,0.0
2008,Cabo Verde,0,0,0.0
2009,Cabo Verde,0,0,0.0
2010,Cabo Verde,0,0,0.0
2011,Cabo Verde,0,0,0.0
2012,Cabo Verde,0,0,0.0
2013,Cabo Verde,0,0,0.0
2014,Cabo Verde,0,0,0.0
2015,Cabo Verde,0,0,0.0
2016,Cabo Verde,0,0,0.0
2017,Cabo Verde,0,0,0.0
2018,Cabo Verde,0,0,0.0
2019,Cabo Verde,0,0,0.0
2020,Cabo Verde,0,0,0.0
2021,Cabo Verde,2,12,6.0
2022,Cabo Verde,0,0,0.0
2023,Cabo Verde,0,0,0.0
2008,Camarões,0,0,0.0
2009,Camarões,0,0,0.0
2010,Camarões,0,0,0.0
2011,Camarões,0,0,0.0
2012,Camarões,0,0,0.0
2013,Camarões,0,0,0.0
2014,Camarões,0,0,0.0
2015,Camarões,0,0,0.0
2016,Camarões,0,0,0.0
2017,Camarões,4138,16077,3.8852102464958915
2018,Camarões,90,284,3.1555555555555554
2019,Camarões,0,0,0.0
2020,Camarões,0,0,0.0
2021,Camarões,0,0,0.0
2022,Camarões,0,0,0.0
2023,Camarões,0,0,0.0
2008,Canada,0,0,0.0
2009,Canada,0,0,0.0
2010,Canada,0,0,0.0
2011,Canada,1894,7716,4.073917634635691
2012,Canada,640,4663,7.2859375
2013,Canada,10371,36809,3.549223797126603
2014,Canada,1847,13240,7.168381158635626
2015,Canada,2405,15821,6.578378378378378
2016,Canada,901,3821,4.2408435072142066
2017,Canada,0,0,0.0
2018,Canada,23,94,4.086956521739131
2019,Canada,2185,8228,3.765675057208238
2020,Canada,413,3063,7.416464891041162
2021,Canada,253,566,2.2371541501976284
2022,Canada,62,347,5.596774193548387
2023,Canada,4068,15427,3.7922812192723696
2008,Catar,0,0,0.0
2009,Catar,0,0,0.0
2010,Catar,0,0,0.0
2011,Catar,0,0,0.0
2012,Catar,0,0,0.0
2013,Catar,0,0,0.0
2014,Catar,0,0,0.0
2015,Catar,0,0,0.0
2016,Catar,0,0,0.0
2017,Catar,0,0,0.0
2018,Catar,0,0,0.0
2019,Catar,41,3502,85.41463414634147
2020,Catar,78,6651,85.26923076923077
2021,Catar,5,964,192.8
2022,Catar,0,0,0.0
2023,Catar,0,0,0.0
2008,"Cayman, Ilhas",0,0,0.0
2009,"Cayman, Ilhas",0,0,0.0
2010,"Cayman, Ilhas",0,0,0.0
2011,"Cayman, Ilhas",0,0,0.0
2012,"Cayman, Ilhas",0,0,0.0
2013,"Cayman, Ilhas",0,0,0.0
2014,"Cayman, Ilhas",0,0,0.0
2015,"Cayman, Ilhas",0,0,0.0
2016,"Cayman, Ilhas",0,0,0.0
2017,"Cayman, Ilhas",0,0,0.0
2018,"Cayman, Ilhas",0,0,0.0
2019,"Cayman, Ilhas",15,43,2.8666666666666667
2020,"Cayman, Ilhas",0,0,0.0
2021,"Cayman, Ilhas",1,5,5.0
2022,"Cayman, Ilhas",0,0,0.0
2023,"Cayman, Ilhas",5,33,6.6
2008,Chile,0,0,0.0
2009,Chile,1673,8613,5.1482367005379555
2010,Chile,0,0,0.0
2011,Chile,0,0,0.0
2012,Chile,811,10143,12.506781750924784
2013,Chile,0,0,0.0
2014,Chile,0,0,0.0
2015,Chile,0,0,0.0
2016,Chile,10340,41824,4.044874274661509
2017,Chile,25439,231696,9.107905184952239
2018,Chile,25481,208521,8.183391546642596
2019,Chile,0,0,0.0
2020,Chile,90,346,3.8444444444444446
2021,Chile,72,361,5.013888888888889
2022,Chile,4,19,4.75
2023,Chile,3532,15875,4.494620611551529
2008,China,0,0,0.0
2009,China,0,0,0.0
2010,China,416,1566,3.764423076923077
2011,China,1682,8342,4.959571938168847
2012,China,3219,25604,7.954022988505747
2013,China,795,6572,8.266666666666667
2014,China,5959,35190,5.905353247189126
2015,China,23520,48739,2.072236394557823
2016,China,4610,20931,4.540347071583514
2017,China,11646,35671,3.062940065258458
2018,China,19490,58871,3.020574653668548
2019,China,26247,91922,3.502190726559226
2020,China,29921,103986,3.475351759633702
2021,China,13692,49572,3.6205083260297983
2022,China,8619,35079,4.069961712495649
2023,China,16285,47822,2.936567393306724
2008,Chipre,0,0,0.0
2009,Chipre,0,0,0.0
2010,Chipre,0,0,0.0
2011,Chipre,0,0,0.0
2012,Chipre,0,0,0.0
2013,Chipre,0,0,0.0
2014,Chipre,0,0,0.0
2015,Chipre,0,0,0.0
2016,Chipre,0,0,0.0
2017,Chipre,0,0,0.0
2018,Chipre,0,0,0.0
2019,Chipre,101,368,3.6435643564356437
2020,Chipre,307,1019,3.3192182410423454
2021,Chipre,122,350,2.8688524590163933
2022,Chipre,382,931,2.43717277486911
2023,Chipre,188,707,3.7606382978723403
2008,Cingapura,378,1933,5.113756613756614
2009,Cingapura,976,2784,2.8524590163934427
2010,Cingapura,247,738,2.9878542510121457
2011,Cingapura,0,0,0.0
2012,Cingapura,0,0,0.0
2013,Cingapura,0,0,0.0
2014,Cingapura,113,700,6.1946902654867255
2015,Cingapura,0,0,0.0
2016,Cingapura,0,0,0.0
2017,Cingapura,0,0,0.0
2018,Cingapura,47214,135547,2.870906934383869
2019,Cingapura,28418,126428,4.448870434231825
2020,Cingapura,0,0,0.0
2021,Cingapura,0,0,0.0
2022,Cingapura,0,0,0.0
2023,Cingapura,0,0,0.0
2008,Colombia,0,0,0.0
2009,Colombia,0,0,0.0
2010,Colombia,0,0,0.0
2011,Colombia,90,1068,11.866666666666667
2012,Colombia,0,0,0.0
2013,Colombia,22,196,8.909090909090908
2014,Colombia,0,0,0.0
2015,Colombia,0,0,0.0
2016,Colombia,617,1532,2.4829821717990277
2017,Colombia,595,2600,4.369747899159663
2018,Colombia,2309,8637,3.7405803378085754
2019,Colombia,804,2185,2.7176616915422884
2020,Colombia,24578,74854,3.045569208235007
2021,Colombia,10280,37207,3.6193579766536965
2022,Colombia,15396,56227,3.6520524811639388
2023,Colombia,1926,6898,3.5815160955347873
2008,"Coreia do Sul, Republica da",842,2553,3.032066508313539
2009,"Coreia do Sul, Republica da",0,0,0.0
2010,"Coreia do Sul, Republica da",0,0,0.0
2011,"Coreia do Sul, Republica da",0,0,0.0
2012,"Coreia do Sul, Republica da",0,0,0.0
2013,"Coreia do Sul, Republica da",0,0,0.0
2014,"Coreia do Sul, Republica da",4950,22797,4.6054545454545455
2015,"Coreia do Sul, Republica da",0,0,0.0
2016,"Coreia do Sul, Republica da",212,1180,5.566037735849057
2017,"Coreia do Sul, Republica da",442,1470,3.32579185520362
2018,"Coreia do Sul, Republica da",3,15,5.0
2019,"Coreia do Sul, Republica da",32,115,3.59375
2020,"Coreia do Sul, Republica da",24,53,2.2083333333333335
2021,"Coreia do Sul, Republica da",82,200,2.4390243902439024
2022,"Coreia do Sul, Republica da",10,30,3.0
2023,"Coreia do Sul, Republica da",74,222,3.0
2008,Costa Rica,0,0,0.0
2009,Costa Rica,0,0,0.0
2010,Costa Rica,12,30,2.5
2011,Costa Rica,0,0,0.0
2012,Costa Rica,34,30,0.8823529411764706
2013,Costa Rica,0,0,0.0
2014,Costa Rica,0,0,0.0
2015,Costa Rica,0,0,0.0
2016,Costa Rica,0,0,0.0
2017,Costa Rica,0,0,0.0
2018,Costa Rica,0,0,0.0
2019,Costa Rica,0,0,0.0
2020,Costa Rica,0,0,0.0
2021,Costa Rica,0,0,0.0
2022,Costa Rica,0,0,0.0
2023,Costa Rica,0,0,0.0
2008,Cuba,0,0,0.0
2009,Cuba,0,0,0.0
2010,Cuba,0,0,0.0
2011,Cuba,0,0,0.0
2012,Cuba,0,0,0.0
2013,Cuba,0,0,0.0
2014,Cuba,0,0,0.0
2015,Cuba,0,0,0.0
2016,Cuba,0,0,0.0
2017,Cuba,0,0,0.0
2018,Cuba,1,2,2.0
2019,Cuba,0,0,0.0
2020,Cuba,0,0,0.0
2021,Cuba,0,0,0.0
2022,Cuba,0,0,0.0
2023,Cuba,0,0,0.0
2008,Curaçao,0,0,0.0
2009,Curaçao,0,0,0.0
2010,Curaçao,0,0,0.0
2011,Curaçao,0,0,0.0
2012,Curaçao,0,0,0.0
2013,Curaçao,0,0,0.0
2014,Curaçao,0,0,0.0
2015,Curaçao,0,0,0.0
2016,Curaçao,0,0,0.0
2017,Curaçao,991,5808,5.860746720484359
2018,Curaçao,801,2256,2.816479400749064
2019,Curaçao,3373,13676,4.054550844945153
2020,Curaçao,2186,8451,3.8659652333028363
2021,Curaçao,5525,21633,3.915475113122172
2022,Curaçao,3487,15494,4.443361055348437
2023,Curaçao,1288,6539,5.076863354037267
2008,Dinamarca,0,0,0.0
2009,Dinamarca,0,0,0.0
2010,Dinamarca,0,0,0.0
2011,Dinamarca,864,4130,4.780092592592593
2012,Dinamarca,1296,5921,4.568672839506172
2013,Dinamarca,3164,16628,5.255372945638432
2014,Dinamarca,1296,6917,5.3371913580246915
2015,Dinamarca,726,4376,6.027548209366391
2016,Dinamarca,68,538,7.911764705882353
2017,Dinamarca,0,0,0.0
2018,Dinamarca,662,3530,5.332326283987915
2019,Dinamarca,96,230,2.3958333333333335
2020,Dinamarca,452,1798,3.97787610619469
2021,Dinamarca,7,32,4.571428571428571
2022,Dinamarca,0,0,0.0
2023,Dinamarca,2790,26359,9.447670250896058
2008,Dominica,0,0,0.0
2009,Dominica,0,0,0.0
2010,Dominica,0,0,0.0
2011,Dominica,0,0,0.0
2012,Dominica,0,0,0.0
2013,Dominica,0,0,0.0
2014,Dominica,0,0,0.0
2015,Dominica,0,0,0.0
2016,Dominica,0,0,0.0
2017,Dominica,0,0,0.0
2018,Dominica,0,0,0.0
2019,Dominica,0,0,0.0
2020,Dominica,0,0,0.0
2021,Dominica,204,505,2.4754901960784315
2022,Dominica,594,1461,2.45959595959596
2023,Dominica,0,0,0.0
2008,El Salvador,0,0,0.0
2009,El Salvador,0,0,0.0
2010,El Salvador,0,0,0.0
2011,El Salvador,20,10,0.5
2012,El Salvador,0,0,0.0
2013,El Salvador,0,0,0.0
2014,El Salvador,0,0,0.0
2015,El Salvador,0,0,0.0
2016,El Salvador,0,0,0.0
2017,El Salvador,0,0,0.0
2018,El Salvador,1,10,10.0
2019,El Salvador,0,0,0.0
2020,El Salvador,0,0,0.0
2021,El Salvador,0,0,0.0
2022,El Salvador,0,0,0.0
2023,El Salvador,0,0,0.0
2008,Emirados Arabes Unidos,0,0,0.0
2009,Emirados Arabes Unidos,0,0,0.0
2010,Emirados Arabes Unidos,198,804,4.0606060606060606
2011,Emirados Arabes Unidos,190,590,3.1052631578947367
2012,Emirados Arabes Unidos,0,0,0.0
2013,Emirados Arabes Unidos,0,0,0.0
2014,Emirados Arabes Unidos,0,0,0.0
2015,Emirados Arabes Unidos,0,0,0.0
2016,Emirados Arabes Unidos,0,0,0.0
2017,Emirados Arabes Unidos,0,0,0.0
2018,Emirados Arabes Unidos,0,0,0.0
2019,Emirados Arabes Unidos,33,164,4.96969696969697
2020,Emirados Arabes Unidos,9,36,4.0
2021,Emirados Arabes Unidos,90,3240,36.0
2022,Emirados Arabes Unidos,0,0,0.0
2023,Emirados Arabes Unidos,126,622,4.936507936507937
2008,Equador,0,0,0.0
2009,Equador,0,0,0.0
2010,Equador,0,0,0.0
2011,Equador,0,0,0.0
2012,Equador,0,0,0.0
2013,Equador,0,0,0.0
2014,Equador,0,0,0.0
2015,Equador,0,0,0.0
2016,Equador,0,0,0.0
2017,Equador,0,0,0.0
2018,Equador,0,0,0.0
2019,Equador,2,3,1.5
2020,Equador,0,0,0.0
2021,Equador,0,0,0.0
2022,Equador,135,500,3.7037037037037037
2023,Equador,540,2000,3.7037037037037037
2008,Espanha,995,3094,3.1095477386934673
2009,Espanha,0,0,0.0
2010,Espanha,0,0,0.0
2011,Espanha,720,5057,7.023611111111111
2012,Espanha,0,0,0.0
2013,Espanha,3375,22468,6.6571851851851855
2014,Espanha,0,0,0.0
2015,Espanha,0,0,0.0
2016,Espanha,0,0,0.0
2017,Espanha,5013,64735,12.91342509475364
2018,Espanha,2271,9453,4.162483487450462
2019,Espanha,2,3,1.5
2020,Espanha,29,230,7.931034482758621
2021,Espanha,0,0,0.0
2022,Espanha,0,0,0.0
2023,Espanha,45,853,18.955555555555556
2008,Estados Unidos,283760,324094,1.1421412461234846
2009,Estados Unidos,35695,200975,5.630340383807256
2010,Estados Unidos,123001,172488,1.4023300623572166
2011,Estados Unidos,67547,333438,4.936385035604838
2012,Estados Unidos,126129,513426,4.070641961801013
2013,Estados Unidos,91987,364136,3.9585593616489287
2014,Estados Unidos,39748,136533,3.4349652812720137
2015,Estados Unidos,18450,92868,5.033495934959349
2016,Estados Unidos,22615,143306,6.336767632102587
2017,Estados Unidos,22605,170620,7.547887635478876
2018,Estados Unidos,28542,172961,6.059876672973163
2019,Estados Unidos,389511,1023709,2.628190217991276
2020,Estados Unidos,634243,1647310,2.597285267634014
2021,Estados Unidos,801082,2123710,2.6510519522346025
2022,Estados Unidos,732209,1964451,2.6829102073315134
2023,Estados Unidos,255198,729055,2.8568209782208323
2008,Estonia,0,0,0.0
2009,Estonia,0,0,0.0
2010,Estonia,495,1860,3.757575757575758
2011,Estonia,0,0,0.0
2012,Estonia,369,1882,5.100271002710027
2013,Estonia,0,0,0.0
2014,Estonia,0,0,0.0
2015,Estonia,0,0,0.0
2016,Estonia,0,0,0.0
2017,Estonia,0,0,0.0
2018,Estonia,0,0,0.0
2019,Estonia,0,0,0.0
2020,Estonia,0,0,0.0
2021,Estonia,0,0,0.0
2022,Estonia,0,0,0.0
2023,Estonia,0,0,0.0
2008,Falkland (Malvinas),0,0,0.0
2009,Falkland (Malvinas),0,0,0.0
2010,Falkland (Malvinas),0,0,0.0
2011,Falkland (Malvinas),0,0,0.0
2012,Falkland (Malvinas),0,0,0.0
2013,Falkland (Malvinas),0,0,0.0
2014,Falkland (Malvinas),0,0,0.0
2015,Falkland (Malvinas),0,0,0.0
2016,Falkland (Malvinas),0,0,0.0
2017,Falkland (Malvinas),0,0,0.0
2018,Falkland (Malvinas),0,0,0.0
2019,Falkland (Malvinas),0,0,0.0
2020,Falkland (Malvinas),0,0,0.0
2021,Falkland (Malvinas),0,0,0.0
2022,Falkland (Malvinas),360,2081,5.780555555555556
2023,Falkland (Malvinas),0,0,0.0
2008,Filipinas,0,0,0.0
2009,Filipinas,0,0,0.0
2010,Filipinas,0,0,0.0
2011,Filipinas,0,0,0.0
2012,Filipinas,0,0,0.0
2013,Filipinas,0,0,0.0
2014,Filipinas,0,0,0.0
2015,Filipinas,0,0,0.0
2016,Filipinas,0,0,0.0
2017,Filipinas,0,0,0.0
2018,Filipinas,0,0,0.0
2019,Filipinas,24,109,4.541666666666667
2020,Filipinas,0,0,0.0
2021,Filipinas,0,0,0.0
2022,Filipinas,77,389,5.0519480519480515
2023,Filipinas,20,111,5.55
2008,Filânldia,0,0,0.0
2009,Filânldia,0,0,0.0
2010,Filânldia,0,0,0.0
2011,Filânldia,1287,6359,4.940947940947941
2012,Filânldia,378,4084,10.804232804232804
2013,Filânldia,693,9556,13.78932178932179
2014,Filânldia,0,0,0.0
2015,Filânldia,0,0,0.0
2016,Filânldia,7522,35948,4.779048125498537
2017,Filânldia,0,0,0.0
2018,Filânldia,0,0,0.0
2019,Filânldia,0,0,0.0
2020,Filânldia,1078,7065,6.553803339517625
2021,Filânldia,0,0,0.0
2022,Filânldia,0,0,0.0
2023,Filânldia,180,1770,9.833333333333334
2008,França,5922,15429,2.605369807497467
2009,França,0,0,0.0
2010,França,990,3951,3.9909090909090907
2011,França,1481,4436,2.9952734638757597
2012,França,945,6116,6.471957671957672
2013,França,5400,22664,4.197037037037037
2014,França,7808,42952,5.501024590163935
2015,França,16246,203297,12.513664902129754
2016,França,0,0,0.0
2017,França,0,0,0.0
2018,França,2163,9147,4.228848821081831
2019,França,3123,15835,5.070445084854307
2020,França,7481,37286,4.984093035690416
2021,França,1015,5366,5.286699507389162
2022,França,772,4308,5.580310880829016
2023,França,0,0,0.0
2008,Gana,0,0,0.0
2009,Gana,0,0,0.0
2010,Gana,0,0,0.0
2011,Gana,0,0,0.0
2012,Gana,0,0,0.0
2013,Gana,0,0,0.0
2014,Gana,0,0,0.0
2015,Gana,0,0,0.0
2016,Gana,0,0,0.0
2017,Gana,0,0,0.0
2018,Gana,0,0,0.0
2019,Gana,810,3696,4.562962962962963
2020,Gana,0,0,0.0
2021,Gana,654,3555,5.435779816513762
2022,Gana,12729,58137,4.567287296724016
2023,Gana,4719,35778,7.58169103623649
2008,Gibraltar,0,0,0.0
2009,Gibraltar,0,0,0.0
2010,Gibraltar,0,0,0.0
2011,Gibraltar,0,0,0.0
2012,Gibraltar,0,0,0.0
2013,Gibraltar,0,0,0.0
2014,Gibraltar,0,0,0.0
2015,Gibraltar,0,0,0.0
2016,Gibraltar,0,0,0.0
2017,Gibraltar,0,0,0.0
2018,Gibraltar,0,0,0.0
2019,Gibraltar,43,85,1.9767441860465116
2020,Gibraltar,0,0,0.0
2021,Gibraltar,0,0,0.0
2022,Gibraltar,0,0,0.0
2023,Gibraltar,0,0,0.0
2008,Granada,0,0,0.0
2009,Granada,0,0,0.0
2010,Granada,0,0,0.0
2011,Granada,0,0,0.0
2012,Granada,0,0,0.0
2013,Granada,0,0,0.0
2014,Granada,0,0,0.0
2015,Granada,0,0,0.0
2016,Granada,0,0,0.0
2017,Granada,0,0,0.0
2018,Granada,0,0,0.0
2019,Granada,0,0,0.0
2020,Granada,0,0,0.0
